request_id,arrival_time,month,day,hour,type,required_units,duration,assigned_cluster,completed,unit_price,revenue
271,41,1,2,17,standard,6,1.259,2,True,7,42
569,41,1,2,17,economy,3,4.262,2,True,4,12
568,42,1,2,18,economy,3,2.573,3,True,4,12
639,43,1,2,19,economy,3,11.637,2,True,4,12
615,44,1,2,20,economy,4,1.795,2,True,4,16
287,44,1,2,20,standard,8,2.676,3,True,7,56
710,49,1,3,1,economy,6,10.195,2,True,4,24
597,50,1,3,2,economy,3,9.103,1,True,4,12
423,50,1,3,2,standard,4,3.332,2,True,7,28
299,51,1,3,3,standard,8,8.569,2,False,7,0
295,53,1,3,5,standard,8,4.79,1,True,7,56
429,53,1,3,5,standard,4,4.871,1,True,7,28
93,54,1,3,6,VIP,10,2.598,3,True,12,120
646,54,1,3,6,economy,6,9.769,1,True,4,24
579,55,1,3,7,economy,2,13.477,1,True,4,8
18,56,1,3,8,VIP,15,4.476,1,True,12,180
164,57,1,3,9,standard,6,3.509,1,True,7,42
222,57,1,3,9,standard,6,6.811,1,True,7,42
712,58,1,3,10,economy,2,2.684,2,False,4,0
20,58,1,3,10,VIP,10,0.567,3,True,12,120
210,58,1,3,10,standard,8,5.243,2,True,7,56
301,62,1,3,14,standard,8,4.934,1,False,7,0
501,63,1,3,15,standard,6,0.842,3,True,7,42
757,64,1,3,16,economy,2,3.061,1,True,4,8
282,65,1,3,17,standard,6,7.792,1,True,7,42
727,65,1,3,17,economy,6,14.785,2,True,4,24
402,67,1,3,19,standard,8,5.067,3,True,7,56
570,67,1,3,19,economy,6,4.296,2,False,4,0
743,68,1,3,20,economy,4,6.665,3,True,4,16
171,69,1,3,21,standard,8,4.384,2,True,7,56
752,70,1,3,22,economy,2,1.21,2,True,4,8
273,70,1,3,22,standard,4,14.944,1,True,7,28
53,73,1,4,1,VIP,15,0.553,1,True,12,180
329,73,1,4,1,standard,6,8.165,2,False,7,0
79,74,1,4,2,VIP,10,8.192,2,True,12,120
241,74,1,4,2,standard,8,8.525,3,False,7,0
469,75,1,4,3,standard,8,0.841,1,True,7,56
520,76,1,4,4,economy,6,25.156,1,False,4,0
443,78,1,4,6,standard,6,0.291,2,True,7,42
347,80,1,4,8,standard,8,5.403,1,True,7,56
318,81,1,4,9,standard,10,10.76,1,True,7,70
582,82,1,4,10,economy,2,12.157,3,False,4,0
563,82,1,4,10,economy,6,4.235,2,True,4,24
315,83,1,4,11,standard,6,6.075,3,True,7,42
628,85,1,4,13,economy,4,7.887,3,False,4,0
115,86,1,4,14,standard,10,5.125,2,True,7,70
397,86,1,4,14,standard,8,2.637,3,True,7,56
769,86,1,4,14,economy,2,9.962,3,False,4,0
590,87,1,4,15,economy,2,9.52,2,True,4,8
74,87,1,4,15,VIP,12,3.703,3,True,12,144
408,88,1,4,16,standard,6,2.883,3,True,7,42
754,88,1,4,16,economy,4,0.397,1,True,4,16
235,88,1,4,16,standard,4,12.976,3,False,7,0
42,89,1,4,17,VIP,10,14.974,1,True,12,120
167,90,1,4,18,standard,8,14.019,1,True,7,56
91,94,1,4,22,VIP,10,2.912,2,True,12,120
378,94,1,4,22,standard,8,5.211,1,False,7,0
440,96,1,5,0,standard,6,2.29,1,True,7,42
506,96,1,5,0,standard,10,1.932,1,True,7,70
137,98,1,5,2,standard,8,9.97,3,True,7,56
68,98,1,5,2,VIP,10,3.021,3,True,12,120
393,99,1,5,3,standard,6,9.046,1,True,7,42
362,100,1,5,4,standard,4,5.981,3,True,7,28
636,101,1,5,5,economy,4,12.94,1,True,4,16
642,101,1,5,5,economy,3,5.978,1,True,4,12
551,101,1,5,5,economy,4,31.719,2,True,4,16
648,101,1,5,5,economy,2,20.797,1,True,4,8
417,102,1,5,6,standard,4,4.215,3,False,7,0
111,102,1,5,6,VIP,12,0.629,3,True,12,144
100,103,1,5,7,VIP,15,4.643,1,True,12,180
28,103,1,5,7,VIP,8,2.229,2,True,12,96
637,103,1,5,7,economy,3,10.733,1,True,4,12
695,104,1,5,8,economy,2,18.412,2,False,4,0
616,104,1,5,8,economy,2,7.884,2,True,4,8
457,105,1,5,9,standard,4,4.57,2,True,7,28
454,105,1,5,9,standard,6,5.063,2,True,7,42
634,105,1,5,9,economy,3,4.787,3,True,4,12
87,105,1,5,9,VIP,10,0.335,1,True,12,120
373,106,1,5,10,standard,6,0.177,3,True,7,42
524,108,1,5,12,economy,4,14.719,2,True,4,16
32,108,1,5,12,VIP,10,1.003,1,True,12,120
246,109,1,5,13,standard,6,1.886,1,True,7,42
303,113,1,5,17,standard,6,7.955,3,True,7,42
580,114,1,5,18,economy,4,10.203,3,True,4,16
428,115,1,5,19,standard,8,5.686,3,True,7,56
80,115,1,5,19,VIP,8,2.492,3,False,12,0
651,116,1,5,20,economy,4,9.736,3,True,4,16
650,116,1,5,20,economy,6,14.371,1,True,4,24
48,117,1,5,21,VIP,8,2.453,3,True,12,96
25,119,1,5,23,VIP,10,4.21,3,True,12,120
62,119,1,5,23,VIP,12,8.956,3,True,12,144
341,120,1,6,0,standard,6,2.904,3,True,7,42
182,122,1,6,2,standard,8,7.869,3,True,7,56
253,122,1,6,2,standard,10,9.713,2,False,7,0
531,123,1,6,3,economy,6,5.73,2,True,4,24
552,123,1,6,3,economy,3,5.722,3,True,4,12
64,123,1,6,3,VIP,12,0.227,2,True,12,144
24,127,1,6,7,VIP,12,0.893,3,True,12,144
223,127,1,6,7,standard,6,2.309,3,True,7,42
601,128,1,6,8,economy,4,10.038,2,True,4,16
272,128,1,6,8,standard,8,4.297,2,True,7,56
581,130,1,6,10,economy,2,6.071,1,True,4,8
700,130,1,6,10,economy,4,4.837,1,True,4,16
101,131,1,6,11,VIP,12,0.186,3,True,12,144
23,131,1,6,11,VIP,10,4.342,3,True,12,120
340,132,1,6,12,standard,6,0.532,3,True,7,42
432,132,1,6,12,standard,6,7.972,1,True,7,42
574,134,1,6,14,economy,3,2.333,1,True,4,12
152,136,1,6,16,standard,10,6.336,1,True,7,70
562,136,1,6,16,economy,3,7.068,1,False,4,0
477,140,1,6,20,standard,10,7.049,1,True,7,70
220,140,1,6,20,standard,6,10.005,3,True,7,42
595,144,1,7,0,economy,3,2.827,2,False,4,0
296,148,1,7,4,standard,6,7.237,1,False,7,0
178,149,1,7,5,standard,6,4.587,3,False,7,0
258,150,1,7,6,standard,4,4.326,3,False,7,0
515,151,1,7,7,economy,2,6.091,2,True,4,8
413,151,1,7,7,standard,6,2.961,3,True,7,42
262,153,1,7,9,standard,10,5.109,2,True,7,70
277,154,1,7,10,standard,8,2.95,1,True,7,56
121,155,1,7,11,standard,4,14.641,2,True,7,28
770,157,1,7,13,economy,3,13.36,3,True,4,12
379,158,1,7,14,standard,8,15.077,3,True,7,56
201,159,1,7,15,standard,4,1.088,2,True,7,28
356,161,1,7,17,standard,10,11.869,2,True,7,70
195,162,1,7,18,standard,6,1.338,2,True,7,42
264,162,1,7,18,standard,4,4.022,3,True,7,28
247,163,1,7,19,standard,10,7.043,3,True,7,70
243,164,1,7,20,standard,6,7.525,3,True,7,42
31,166,1,7,22,VIP,10,2.945,1,True,12,120
722,167,1,7,23,economy,3,12.799,1,False,4,0
503,167,1,7,23,standard,8,3.415,2,True,7,56
381,168,1,8,0,standard,4,0.586,2,True,7,28
577,169,1,8,1,economy,2,2.679,3,True,4,8
11,170,1,8,2,VIP,12,6.511,2,True,12,144
358,170,1,8,2,standard,10,3.669,3,True,7,70
675,171,1,8,3,economy,6,2.046,3,True,4,24
394,171,1,8,3,standard,4,6.688,3,True,7,28
647,171,1,8,3,economy,3,11.999,2,True,4,12
293,172,1,8,4,standard,4,3.435,2,True,7,28
377,173,1,8,5,standard,10,1.79,2,True,7,70
405,176,1,8,8,standard,6,4.346,1,True,7,42
427,179,1,8,11,standard,6,10.844,1,True,7,42
575,181,1,8,13,economy,2,9.0,1,True,4,8
721,181,1,8,13,economy,2,13.935,3,True,4,8
663,182,1,8,14,economy,2,13.06,1,True,4,8
361,183,1,8,15,standard,4,5.664,1,True,7,28
404,183,1,8,15,standard,4,4.334,2,True,7,28
9,184,1,8,16,VIP,8,5.412,3,True,12,96
493,184,1,8,16,standard,6,0.797,1,True,7,42
309,186,1,8,18,standard,6,9.889,3,True,7,42
290,186,1,8,18,standard,8,4.95,3,True,7,56
475,187,1,8,19,standard,4,9.764,1,True,7,28
525,188,1,8,20,economy,2,7.151,2,True,4,8
135,190,1,8,22,standard,4,1.797,2,True,7,28
288,190,1,8,22,standard,4,2.457,3,True,7,28
485,191,1,8,23,standard,10,8.164,3,True,7,70
338,192,1,9,0,standard,6,7.593,1,True,7,42
660,192,1,9,0,economy,4,7.216,2,True,4,16
86,194,1,9,2,VIP,10,4.269,1,True,12,120
483,195,1,9,3,standard,6,4.423,3,True,7,42
199,196,1,9,4,standard,4,12.046,1,False,7,0
471,196,1,9,4,standard,10,13.276,3,True,7,70
60,196,1,9,4,VIP,10,5.789,3,True,12,120
108,196,1,9,4,VIP,12,0.811,3,True,12,144
141,197,1,9,5,standard,6,8.449,3,True,7,42
313,197,1,9,5,standard,6,3.404,2,True,7,42
286,197,1,9,5,standard,4,2.687,1,True,7,28
661,198,1,9,6,economy,2,33.302,3,True,4,8
382,198,1,9,6,standard,6,5.211,1,True,7,42
189,198,1,9,6,standard,8,6.327,2,True,7,56
179,198,1,9,6,standard,4,9.502,3,True,7,28
125,199,1,9,7,standard,4,21.069,2,True,7,28
196,199,1,9,7,standard,6,4.428,1,True,7,42
324,200,1,9,8,standard,8,19.928,2,True,7,56
445,200,1,9,8,standard,6,0.318,1,True,7,42
308,204,1,9,12,standard,6,1.013,3,True,7,42
118,205,1,9,13,standard,4,7.597,3,True,7,28
664,206,1,9,14,economy,2,1.064,1,True,4,8
605,206,1,9,14,economy,3,15.622,1,True,4,12
387,207,1,9,15,standard,4,3.993,2,True,7,28
508,208,1,9,16,standard,4,2.764,3,True,7,28
733,209,1,9,17,economy,3,9.27,1,True,4,12
333,210,1,9,18,standard,4,7.084,2,True,7,28
58,211,1,9,19,VIP,15,10.105,3,True,12,180
499,211,1,9,19,standard,10,8.266,2,True,7,70
197,212,1,9,20,standard,4,4.77,1,True,7,28
14,214,1,9,22,VIP,12,2.347,1,True,12,144
656,214,1,9,22,economy,3,13.609,1,True,4,12
523,215,1,9,23,economy,2,12.605,3,True,4,8
72,215,1,9,23,VIP,10,4.602,2,True,12,120
370,216,1,10,0,standard,10,8.01,2,True,7,70
386,217,1,10,1,standard,4,13.677,3,True,7,28
777,217,1,10,1,economy,4,4.249,2,True,4,16
383,218,1,10,2,standard,4,1.731,2,False,7,0
207,219,1,10,3,standard,6,2.065,1,True,7,42
491,219,1,10,3,standard,6,4.021,1,True,7,42
419,221,1,10,5,standard,4,3.168,1,True,7,28
586,222,1,10,6,economy,2,2.029,2,True,4,8
739,222,1,10,6,economy,3,1.634,3,True,4,12
567,224,1,10,8,economy,2,5.104,3,True,4,8
365,225,1,10,9,standard,8,5.121,1,True,7,56
557,225,1,10,9,economy,2,4.76,1,True,4,8
84,226,1,10,10,VIP,12,2.549,2,True,12,144
594,226,1,10,10,economy,6,2.204,1,True,4,24
434,228,1,10,12,standard,8,2.045,3,True,7,56
719,228,1,10,12,economy,2,0.565,1,True,4,8
489,228,1,10,12,standard,10,6.112,3,True,7,70
530,228,1,10,12,economy,6,7.489,3,True,4,24
134,230,1,10,14,standard,6,2.21,1,True,7,42
181,231,1,10,15,standard,6,6.923,2,True,7,42
325,232,1,10,16,standard,8,2.935,1,True,7,56
159,232,1,10,16,standard,6,8.051,2,True,7,42
627,233,1,10,17,economy,2,7.268,2,True,4,8
96,234,1,10,18,VIP,12,2.623,3,True,12,144
624,235,1,10,19,economy,3,2.913,3,True,4,12
479,236,1,10,20,standard,6,5.835,2,True,7,42
453,236,1,10,20,standard,4,1.664,2,True,7,28
124,237,1,10,21,standard,6,6.131,3,True,7,42
737,237,1,10,21,economy,2,12.241,2,False,4,0
163,237,1,10,21,standard,10,9.642,2,False,7,0
322,238,1,10,22,standard,10,3.082,3,True,7,70
749,239,1,10,23,economy,2,5.428,2,True,4,8
360,240,1,11,0,standard,6,1.989,3,False,7,0
659,243,1,11,3,economy,3,9.442,3,True,4,12
718,243,1,11,3,economy,4,1.732,1,True,4,16
279,243,1,11,3,standard,6,9.333,2,True,7,42
221,245,1,11,5,standard,6,1.593,3,True,7,42
584,246,1,11,6,economy,4,12.979,3,True,4,16
376,247,1,11,7,standard,6,1.335,3,True,7,42
711,247,1,11,7,economy,2,2.978,2,True,4,8
57,248,1,11,8,VIP,10,2.555,1,True,12,120
473,248,1,11,8,standard,6,19.98,3,True,7,42
142,249,1,11,9,standard,4,1.501,1,True,7,28
751,251,1,11,11,economy,6,12.794,1,True,4,24
5,251,1,11,11,VIP,8,4.517,2,True,12,96
170,252,1,11,12,standard,4,0.68,2,False,7,0
395,254,1,11,14,standard,8,3.717,1,True,7,56
592,254,1,11,14,economy,3,29.405,3,False,4,0
157,254,1,11,14,standard,6,2.731,2,False,7,0
147,255,1,11,15,standard,8,4.54,3,True,7,56
237,257,1,11,17,standard,10,0.553,2,True,7,70
724,258,1,11,18,economy,3,3.61,2,True,4,12
331,258,1,11,18,standard,8,3.842,1,True,7,56
458,259,1,11,19,standard,6,4.991,1,True,7,42
463,264,1,12,0,standard,6,5.043,1,True,7,42
600,268,1,12,4,economy,3,8.142,2,True,4,12
214,268,1,12,4,standard,10,0.248,3,True,7,70
256,270,1,12,6,standard,6,11.563,2,True,7,42
623,270,1,12,6,economy,4,4.951,2,True,4,16
420,271,1,12,7,standard,4,6.995,3,True,7,28
364,271,1,12,7,standard,4,5.89,2,True,7,28
446,271,1,12,7,standard,4,10.802,1,False,7,0
105,272,1,12,8,VIP,10,2.175,3,True,12,120
692,274,1,12,10,economy,2,10.402,2,True,4,8
522,274,1,12,10,economy,2,16.818,3,True,4,8
391,276,1,12,12,standard,4,19.339,2,True,7,28
447,276,1,12,12,standard,4,1.118,3,True,7,28
687,277,1,12,13,economy,2,1.541,2,True,4,8
625,277,1,12,13,economy,3,10.065,2,True,4,12
593,282,1,12,18,economy,3,1.078,2,False,4,0
218,282,1,12,18,standard,6,1.431,1,True,7,42
448,284,1,12,20,standard,8,2.077,3,True,7,56
486,286,1,12,22,standard,8,7.644,3,True,7,56
350,289,1,13,1,standard,8,3.145,1,False,7,0
425,291,1,13,3,standard,8,6.161,1,True,7,56
696,292,1,13,4,economy,6,4.986,1,True,4,24
263,292,1,13,4,standard,6,5.736,3,True,7,42
517,293,1,13,5,economy,2,4.385,1,True,4,8
52,294,1,13,6,VIP,10,4.054,1,True,12,120
643,294,1,13,6,economy,4,15.68,2,True,4,16
585,294,1,13,6,economy,3,9.931,3,True,4,12
339,297,1,13,9,standard,8,2.26,2,True,7,56
15,297,1,13,9,VIP,12,1.9,3,True,12,144
326,298,1,13,10,standard,4,2.221,1,True,7,28
186,299,1,13,11,standard,4,6.437,2,True,7,28
707,299,1,13,11,economy,2,3.707,1,True,4,8
88,299,1,13,11,VIP,10,1.415,2,True,12,120
703,300,1,13,12,economy,3,8.924,3,True,4,12
90,300,1,13,12,VIP,10,3.943,2,True,12,120
644,302,1,13,14,economy,6,2.492,3,True,4,24
731,303,1,13,15,economy,3,12.965,2,True,4,12
321,307,1,13,19,standard,6,3.641,3,True,7,42
119,307,1,13,19,standard,10,5.696,1,True,7,70
1,308,1,13,20,VIP,12,3.674,3,True,12,144
768,310,1,13,22,economy,2,16.899,3,True,4,8
693,313,1,14,1,economy,3,10.217,1,True,4,12
466,314,1,14,2,standard,8,5.585,2,True,7,56
559,316,1,14,4,economy,6,8.338,2,True,4,24
735,316,1,14,4,economy,2,13.995,2,True,4,8
204,316,1,14,4,standard,4,7.295,2,True,7,28
3,317,1,14,5,VIP,12,1.42,1,True,12,144
232,318,1,14,6,standard,6,2.94,2,True,7,42
389,318,1,14,6,standard,6,4.062,3,True,7,42
608,319,1,14,7,economy,2,10.683,3,True,4,8
311,320,1,14,8,standard,10,6.023,3,False,7,0
85,324,1,14,12,VIP,10,11.335,3,True,12,120
2,324,1,14,12,VIP,15,3.507,2,True,12,180
761,324,1,14,12,economy,4,5.499,2,True,4,16
46,324,1,14,12,VIP,10,1.228,1,True,12,120
510,325,1,14,13,standard,8,7.583,2,True,7,56
775,326,1,14,14,economy,6,10.629,2,True,4,24
330,326,1,14,14,standard,4,0.935,1,True,7,28
497,327,1,14,15,standard,10,9.109,2,True,7,70
723,327,1,14,15,economy,4,16.852,1,True,4,16
269,327,1,14,15,standard,10,5.36,3,True,7,70
400,329,1,14,17,standard,4,6.413,2,True,7,28
512,330,1,14,18,standard,4,7.203,1,True,7,28
208,332,1,14,20,standard,4,4.025,3,True,7,28
478,333,1,14,21,standard,6,0.647,3,True,7,42
716,337,1,15,1,economy,6,4.377,3,True,4,24
158,337,1,15,1,standard,6,6.158,1,True,7,42
662,338,1,15,2,economy,2,19.561,1,True,4,8
549,338,1,15,2,economy,3,9.109,2,True,4,12
229,339,1,15,3,standard,6,7.797,1,True,7,42
112,341,1,15,5,standard,8,7.402,2,True,7,56
511,342,1,15,6,standard,6,7.477,2,True,7,42
278,344,1,15,8,standard,4,4.835,2,True,7,28
441,345,1,15,9,standard,6,7.644,1,True,7,42
17,346,1,15,10,VIP,10,2.355,3,True,12,120
688,346,1,15,10,economy,3,1.386,2,True,4,12
26,346,1,15,10,VIP,12,0.303,3,True,12,144
678,347,1,15,11,economy,2,7.014,3,True,4,8
767,347,1,15,11,economy,4,2.84,2,True,4,16
37,348,1,15,12,VIP,8,4.283,1,True,12,96
228,348,1,15,12,standard,10,5.343,2,True,7,70
266,348,1,15,12,standard,6,6.531,2,True,7,42
507,349,1,15,13,standard,6,10.451,3,False,7,0
519,349,1,15,13,economy,2,9.374,3,True,4,8
346,349,1,15,13,standard,6,12.801,1,True,7,42
653,350,1,15,14,economy,2,15.252,2,True,4,8
71,350,1,15,14,VIP,12,3.62,2,True,12,144
281,350,1,15,14,standard,10,4.305,3,True,7,70
215,351,1,15,15,standard,6,1.139,2,True,7,42
571,352,1,15,16,economy,2,13.015,1,True,4,8
268,353,1,15,17,standard,8,4.603,1,True,7,56
671,353,1,15,17,economy,4,13.629,1,True,4,16
528,353,1,15,17,economy,2,0.999,1,False,4,0
482,354,1,15,18,standard,8,2.79,3,True,7,56
679,356,1,15,20,economy,6,4.127,1,False,4,0
433,357,1,15,21,standard,8,0.413,3,True,7,56
227,358,1,15,22,standard,6,7.529,1,False,7,0
249,359,1,15,23,standard,4,2.666,2,False,7,0
729,359,1,15,23,economy,4,4.452,1,True,4,16
702,360,1,16,0,economy,4,7.136,2,True,4,16
351,360,1,16,0,standard,10,1.717,3,True,7,70
233,362,1,16,2,standard,4,9.955,3,True,7,28
603,362,1,16,2,economy,2,14.584,2,True,4,8
657,363,1,16,3,economy,3,7.242,3,True,4,12
683,364,1,16,4,economy,2,10.468,2,True,4,8
691,365,1,16,5,economy,2,12.833,3,True,4,8
41,366,1,16,6,VIP,15,2.788,3,True,12,180
772,367,1,16,7,economy,3,11.099,3,True,4,12
766,367,1,16,7,economy,4,11.608,2,False,4,0
738,367,1,16,7,economy,4,5.786,1,True,4,16
117,368,1,16,8,standard,10,3.589,1,True,7,70
725,369,1,16,9,economy,4,0.89,3,True,4,16
612,371,1,16,11,economy,4,4.227,3,True,4,16
518,372,1,16,12,economy,2,1.808,1,True,4,8
304,372,1,16,12,standard,6,2.765,2,True,7,42
244,372,1,16,12,standard,8,2.595,2,True,7,56
762,372,1,16,12,economy,2,1.265,3,True,4,8
343,374,1,16,14,standard,6,1.866,2,True,7,42
649,374,1,16,14,economy,4,20.717,2,True,4,16
527,374,1,16,14,economy,2,20.354,3,True,4,8
572,374,1,16,14,economy,2,2.216,3,True,4,8
706,376,1,16,16,economy,3,8.011,1,True,4,12
701,376,1,16,16,economy,4,7.141,1,True,4,16
292,377,1,16,17,standard,4,4.552,3,True,7,28
149,377,1,16,17,standard,6,4.505,3,True,7,42
380,378,1,16,18,standard,8,4.876,1,True,7,56
130,378,1,16,18,standard,4,1.976,1,True,7,28
697,381,1,16,21,economy,4,11.71,3,True,4,16
150,382,1,16,22,standard,8,6.045,1,True,7,56
320,382,1,16,22,standard,6,9.445,3,True,7,42
49,384,1,17,0,VIP,8,3.969,2,True,12,96
492,384,1,17,0,standard,6,7.124,2,True,7,42
665,385,1,17,1,economy,2,6.061,3,True,4,8
51,385,1,17,1,VIP,8,17.157,3,True,12,96
541,386,1,17,2,economy,2,7.643,2,False,4,0
73,386,1,17,2,VIP,15,3.476,1,True,12,180
146,387,1,17,3,standard,6,2.631,2,True,7,42
21,388,1,17,4,VIP,15,3.523,1,True,12,180
202,389,1,17,5,standard,8,5.732,2,False,7,0
355,391,1,17,7,standard,10,2.004,2,True,7,70
516,391,1,17,7,economy,2,22.661,3,True,4,8
27,396,1,17,12,VIP,10,2.983,2,True,12,120
502,397,1,17,13,standard,6,16.059,3,True,7,42
654,399,1,17,15,economy,2,11.408,1,True,4,8
89,399,1,17,15,VIP,12,5.201,1,True,12,144
553,401,1,17,17,economy,4,6.062,1,True,4,16
487,401,1,17,17,standard,6,4.418,2,True,7,42
410,401,1,17,17,standard,10,6.153,1,True,7,70
234,402,1,17,18,standard,6,2.411,3,True,7,42
211,402,1,17,18,standard,6,0.323,2,True,7,42
83,402,1,17,18,VIP,12,4.256,2,True,12,144
596,402,1,17,18,economy,2,14.119,2,True,4,8
424,402,1,17,18,standard,8,16.865,2,False,7,0
297,403,1,17,19,standard,6,4.085,1,True,7,42
172,403,1,17,19,standard,4,5.023,2,True,7,28
604,406,1,17,22,economy,4,4.706,2,True,4,16
618,407,1,17,23,economy,3,7.18,1,True,4,12
145,407,1,17,23,standard,6,5.044,2,True,7,42
780,410,1,18,2,economy,4,3.924,1,False,4,0
713,411,1,18,3,economy,3,18.999,3,True,4,12
444,412,1,18,4,standard,8,10.649,1,True,7,56
544,412,1,18,4,economy,2,8.623,1,True,4,8
120,412,1,18,4,standard,8,0.846,3,False,7,0
565,412,1,18,4,economy,6,3.583,1,True,4,24
599,413,1,18,5,economy,6,5.548,2,True,4,24
543,415,1,18,7,economy,2,5.751,1,True,4,8
260,416,1,18,8,standard,6,4.966,3,True,7,42
481,418,1,18,10,standard,6,0.705,1,True,7,42
265,419,1,18,11,standard,6,4.684,1,False,7,0
540,419,1,18,11,economy,4,19.161,1,True,4,16
185,420,1,18,12,standard,10,8.917,3,True,7,70
230,421,1,18,13,standard,6,10.237,2,False,7,0
589,424,1,18,16,economy,4,16.493,3,True,4,16
36,425,1,18,17,VIP,8,1.516,3,False,12,0
630,425,1,18,17,economy,4,9.937,2,False,4,0
765,431,1,18,23,economy,4,9.409,3,True,4,16
236,431,1,18,23,standard,4,14.265,1,True,7,28
534,431,1,18,23,economy,3,5.366,1,False,4,0
774,432,1,19,0,economy,4,6.753,2,True,4,16
401,433,1,19,1,standard,4,3.689,2,True,7,28
742,433,1,19,1,economy,3,8.048,2,True,4,12
505,434,1,19,2,standard,4,10.079,3,True,7,28
734,435,1,19,3,economy,2,15.046,1,True,4,8
22,435,1,19,3,VIP,12,1.328,2,True,12,144
550,436,1,19,4,economy,2,8.865,1,True,4,8
464,438,1,19,6,standard,10,4.217,3,True,7,70
720,438,1,19,6,economy,2,9.538,1,True,4,8
217,438,1,19,6,standard,6,4.679,1,True,7,42
462,439,1,19,7,standard,4,14.951,2,False,7,0
459,439,1,19,7,standard,6,10.525,3,True,7,42
513,441,1,19,9,economy,3,5.18,1,True,4,12
224,442,1,19,10,standard,10,2.714,1,True,7,70
180,443,1,19,11,standard,10,2.042,2,True,7,70
349,446,1,19,14,standard,4,4.038,1,True,7,28
348,447,1,19,15,standard,8,7.411,3,True,7,56
631,448,1,19,16,economy,6,18.965,3,True,4,24
328,449,1,19,17,standard,6,5.861,3,True,7,42
554,450,1,19,18,economy,2,31.258,1,True,4,8
708,451,1,19,19,economy,4,1.034,1,False,4,0
763,451,1,19,19,economy,3,4.182,1,True,4,12
632,452,1,19,20,economy,3,8.097,1,False,4,0
242,453,1,19,21,standard,6,3.771,2,True,7,42
107,454,1,19,22,VIP,10,3.843,2,True,12,120
560,456,1,20,0,economy,3,3.427,2,True,4,12
621,456,1,20,0,economy,2,11.75,1,False,4,0
652,459,1,20,3,economy,2,15.393,1,True,4,8
56,461,1,20,5,VIP,8,0.544,1,True,12,96
442,462,1,20,6,standard,8,7.579,3,True,7,56
747,462,1,20,6,economy,4,7.074,3,True,4,16
128,463,1,20,7,standard,6,4.107,3,False,7,0
248,464,1,20,8,standard,6,6.9,2,False,7,0
34,465,1,20,9,VIP,8,9.079,2,True,12,96
396,465,1,20,9,standard,10,5.92,1,True,7,70
606,465,1,20,9,economy,3,11.2,1,False,4,0
357,465,1,20,9,standard,10,2.809,1,False,7,0
545,465,1,20,9,economy,4,3.984,1,True,4,16
732,466,1,20,10,economy,2,4.436,2,True,4,8
307,467,1,20,11,standard,10,2.759,1,True,7,70
10,467,1,20,11,VIP,12,2.26,3,True,12,144
456,468,1,20,12,standard,4,15.851,3,True,7,28
690,468,1,20,12,economy,3,6.69,2,True,4,12
335,469,1,20,13,standard,10,9.552,3,True,7,70
500,469,1,20,13,standard,6,5.654,2,True,7,42
668,469,1,20,13,economy,4,6.071,2,True,4,16
